categorie,poids_kg,transparence,rigidite,recyclable
carton,0.11373655110194641,0.052415136123789355,0.24198461735782728,1
metal,0.2442600975987827,0.012468917155347195,0.8893895515049425,1
metal,0.2446511611614805,0.0,0.927652004292618,1
carton,0.21372959376467573,0.0691545530732402,0.7352359638379476,1
papier,0.05080793177355333,0.10704431234556021,0.13222550294751484,1
metal,0.04987578351665009,0.004547409121411344,0.9438023396264897,1
carton,0.14672261966094974,0.038154669383497694,0.5295990893892817,1
carton,0.09137041955736286,0.04845255217334454,0.6700435207788573,1
metal,0.2267087973254828,0.004838766511880398,0.8745096653404559,1
plastique,0.034334934153275265,0.8220740530866929,0.3724948302848356,0
metal,0.12961485171983567,0.0,0.9009200815391719,1
plastique,0.051740941364763426,0.8731510388340242,0.471161487808889,1
carton,0.16016514717845373,0.04621172658036901,0.46776344672748826,1
metal,0.3073180732424705,0.005082686396745896,0.8833569797808745,1
organique,0.20218745303608465,0.017701676156472727,0.04328018086467551,1
organique,0.08798180524728995,0.014003997947952825,0.1093769392206981,0
verre,0.34946635291633366,0.49471396390617445,0.940500280640881,1
organique,0.05449250173797064,0.0032584085214792473,0.10994748482416548,0
carton,0.14103947626873056,0.054492515707780395,0.3505412466249399,1
verre,0.4001033343517345,0.8562466907509564,0.9677775314837176,1
carton,0.18578291223789456,0.056776292016214744,0.31666822869906175,1
verre,0.34933465453687623,0.536210150000878,0.9368339048693017,1
papier,0.09459504931478606,0.07240709270537767,0.331759753560796,1
carton,0.13315510872082545,0.006768793333616137,0.4145924449777809,1
verre,0.34527353473709904,0.8247046741155711,0.9809343273923953,1
verre,0.20869756546582222,0.9399494963975852,0.8873095883103371,1
plastique,0.041587093544692824,0.6119911026606032,0.4074094780419775,1
organique,0.16333909108998398,0.0026354674057816867,0.14982623169482906,1
organique,0.10396553357672499,0.0013227279049742133,0.13800591881281807,1
organique,0.17310723931798785,0.0008079162972197933,0.10371209926504169,1
papier,0.08802176942215709,0.12942892022103047,0.1356450167682538,1
plastique,0.0253827136713209,0.955532979157685,0.5366874267444525,0
metal,0.24790355116495283,0.0,0.8906551920919008,1
papier,0.13106644833905715,0.07868212018972284,0.05424485005350696,1
papier,0.07788503665822727,0.1631292051713591,0.2126379579546412,1
verre,0.23224716347250635,0.774782765656206,0.9210268362964964,1
carton,0.14906250800635595,0.038985576086089775,0.478860812858357,1
metal,0.20464181878467164,0.006295295842218108,0.9107356591585264,1
organique,0.16488772406197716,0.0,0.07139029648532783,1
plastique,0.06951090254244718,0.7128560038190925,0.5831458765854354,1
verre,0.4367765024170888,0.9493628355022035,0.956024997939465,1
plastique,0.05592240554129153,0.49512247173314194,0.2816741487334225,1
verre,0.39466397315170854,0.8911271490724257,0.911418583879156,1
organique,0.09647822123295825,6.211355621786127e-05,0.12365254641166065,0
verre,0.32737547809913237,0.6933692104383139,0.9041420097401982,1
verre,0.3679036796548965,0.8550653400182101,0.9156228274330204,1
organique,0.16928197165472328,0.0006884573128385278,0.02459060728230357,0
carton,0.21848543889848904,0.04987296886454263,0.5781452248362243,1
papier,0.05966853890743682,0.1746344284479761,0.3085982116175032,1
organique,0.09257530128328317,0.0017255019180419026,0.09809299572791756,0
metal,0.19947829478164336,0.008745170741325225,0.7504432014549638,1
organique,0.14642796014388734,0.0,0.14997095163389557,1
verre,0.43065932479136865,0.8399870820042405,1.0,1
carton,0.14225376990818617,0.02535715340370335,0.5054948242160369,0
plastique,0.021505036275730867,0.6106970095865958,0.3711341361079862,1
plastique,0.03796586775541207,0.7307450211891056,0.46901439917111126,1
metal,0.2708185186391193,0.0,0.8645279498786227,1
plastique,0.04073164614375076,0.9907068154314633,0.39743960579567583,1
verre,0.2559586225432097,0.6738636802928217,0.9444633285459652,1
metal,0.2034811734914773,0.012571492168625728,0.9387577747017392,1
verre,0.34527353473709904,1.0,1.0,1
plastique,0.07061999044991903,0.3265469614816503,0.49504238381860505,1
carton,0.20726945942736763,0.049176610461749,0.6631196261047245,1
verre,0.2727332857726529,0.6739834882124993,0.9235350881226889,1
