"Nouveau","Ancien","SHA256"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_100.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\val\cardboard\cardboard196.jpg","2E2814038C3594BB3D50FA40A8A4763AD9087A2B53E21C061F51D7CF0A90B78B"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_1000.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\train\cardboard\cardboard140.jpg","5C07AB0E59BBF265410C979526AB9B388B28A5FD5FE93FA7D713ED96954BA7F4"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_1016.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\train\cardboard\cardboard115.jpg","448E75E25FC89C0AF92631D09FE6A6B3C86D121478BA1B9FD8F57A6CCB2A98E1"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_1017.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\test\cardboard\cardboard346.jpg","3324E4A5A61AA8FC1A7764E1131AB92968F10A5FF02AEB29E5EF4513FBD55EBC"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_1018.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\train\cardboard\cardboard380.jpg","450D323ADB8F48ED84871A410BA3D17E3AB51B8C3A239654541127F6A10A5E99"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_102.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\train\cardboard\cardboard28.jpg","3A0E12D4D8E11D8D37F4404A56E4E675CB87F17146449A5E0C779DB8035C5641"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_1022.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\test\cardboard\cardboard399.jpg","60495C8BC2534D43EBD44B7F4E534CC7F4C2408CED3DBA5B0415E5B79CB4B007"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_1023.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\train\cardboard\cardboard142.jpg","4CB2DF483CA108F9625290F9F10B6AA5EEFBF3BC9FB11E9F75804C14D2FE17BE"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_1029.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\train\cardboard\cardboard168.jpg","C5ADF70B3390C88D5799A29251D4D6DED545F8E9B2B27A11BF5DEFAC377491D9"
"C:\Users\bouss\eco-tri-ia\data\raw\garbage_dataset_v2\six_classes\cardboard\cardboard_1031.jpg","C:\Users\bouss\eco-tri-ia\data\classification\v2\train\cardboard\cardboard391.jpg","1378754E2CA5C4A0B7DB35F370DCC2E5A10ED5E0480B6F6F9B0AC8C788641E87"
