path,expected_class,predicted_class,confidence,is_uncertain
data\external_test_realwaste\cardboard\Cardboard_1.jpg,cardboard,glass,0.51921,True
data\external_test_realwaste\cardboard\Cardboard_100.jpg,cardboard,trash,0.446323,True
data\external_test_realwaste\cardboard\Cardboard_101.jpg,cardboard,trash,0.99459,False
data\external_test_realwaste\cardboard\Cardboard_102.jpg,cardboard,trash,0.6408,False
data\external_test_realwaste\cardboard\Cardboard_104.jpg,cardboard,trash,0.773169,False
data\external_test_realwaste\cardboard\Cardboard_105.jpg,cardboard,paper,0.472735,True
data\external_test_realwaste\cardboard\Cardboard_107.jpg,cardboard,paper,0.947461,False
data\external_test_realwaste\cardboard\Cardboard_109.jpg,cardboard,paper,0.988685,False
data\external_test_realwaste\cardboard\Cardboard_110.jpg,cardboard,trash,0.810631,False
data\external_test_realwaste\cardboard\Cardboard_111.jpg,cardboard,trash,0.889758,False
data\external_test_realwaste\cardboard\Cardboard_112.jpg,cardboard,paper,0.7893,False
data\external_test_realwaste\cardboard\Cardboard_117.jpg,cardboard,trash,0.838479,False
data\external_test_realwaste\cardboard\Cardboard_118.jpg,cardboard,trash,0.617362,False
data\external_test_realwaste\cardboard\Cardboard_119.jpg,cardboard,trash,0.983572,False
data\external_test_realwaste\cardboard\Cardboard_12.jpg,cardboard,paper,0.98772,False
data\external_test_realwaste\cardboard\Cardboard_120.jpg,cardboard,trash,0.911757,False
data\external_test_realwaste\cardboard\Cardboard_121.jpg,cardboard,trash,0.955214,False
data\external_test_realwaste\cardboard\Cardboard_125.jpg,cardboard,paper,0.870636,False
data\external_test_realwaste\cardboard\Cardboard_126.jpg,cardboard,trash,0.463612,True
data\external_test_realwaste\cardboard\Cardboard_127.jpg,cardboard,trash,0.92452,False
data\external_test_realwaste\cardboard\Cardboard_128.jpg,cardboard,trash,0.930709,False
data\external_test_realwaste\cardboard\Cardboard_129.jpg,cardboard,trash,0.956178,False
data\external_test_realwaste\cardboard\Cardboard_13.jpg,cardboard,trash,0.651991,False
data\external_test_realwaste\cardboard\Cardboard_131.jpg,cardboard,trash,0.837263,False
data\external_test_realwaste\cardboard\Cardboard_132.jpg,cardboard,trash,0.477889,True
data\external_test_realwaste\cardboard\Cardboard_133.jpg,cardboard,trash,0.360282,True
data\external_test_realwaste\cardboard\Cardboard_135.jpg,cardboard,trash,0.987964,False
data\external_test_realwaste\cardboard\Cardboard_136.jpg,cardboard,plastic,0.641388,False
data\external_test_realwaste\cardboard\Cardboard_137.jpg,cardboard,metal,0.643039,False
data\external_test_realwaste\cardboard\Cardboard_139.jpg,cardboard,trash,0.691634,False
data\external_test_realwaste\cardboard\Cardboard_14.jpg,cardboard,paper,0.892373,False
data\external_test_realwaste\cardboard\Cardboard_140.jpg,cardboard,paper,0.662196,False
data\external_test_realwaste\cardboard\Cardboard_142.jpg,cardboard,paper,0.798452,False
data\external_test_realwaste\cardboard\Cardboard_145.jpg,cardboard,glass,0.586987,True
data\external_test_realwaste\cardboard\Cardboard_146.jpg,cardboard,trash,0.63752,False
data\external_test_realwaste\cardboard\Cardboard_148.jpg,cardboard,trash,0.638776,False
data\external_test_realwaste\cardboard\Cardboard_149.jpg,cardboard,trash,0.608143,False
data\external_test_realwaste\cardboard\Cardboard_15.jpg,cardboard,trash,0.68697,False
data\external_test_realwaste\cardboard\Cardboard_150.jpg,cardboard,metal,0.986429,False
data\external_test_realwaste\cardboard\Cardboard_151.jpg,cardboard,metal,0.982913,False
data\external_test_realwaste\cardboard\Cardboard_152.jpg,cardboard,metal,0.719538,False
data\external_test_realwaste\cardboard\Cardboard_153.jpg,cardboard,metal,0.994356,False
data\external_test_realwaste\cardboard\Cardboard_154.jpg,cardboard,trash,0.514065,True
data\external_test_realwaste\cardboard\Cardboard_156.jpg,cardboard,trash,0.939659,False
data\external_test_realwaste\cardboard\Cardboard_157.jpg,cardboard,trash,0.698182,False
data\external_test_realwaste\cardboard\Cardboard_159.jpg,cardboard,trash,0.977964,False
data\external_test_realwaste\cardboard\Cardboard_16.jpg,cardboard,trash,0.965569,False
data\external_test_realwaste\cardboard\Cardboard_160.jpg,cardboard,trash,0.710219,False
data\external_test_realwaste\cardboard\Cardboard_161.jpg,cardboard,paper,0.557988,True
data\external_test_realwaste\cardboard\Cardboard_163.jpg,cardboard,paper,0.522946,True
data\external_test_realwaste\cardboard\Cardboard_164.jpg,cardboard,paper,0.784258,False
data\external_test_realwaste\cardboard\Cardboard_165.jpg,cardboard,trash,0.859259,False
data\external_test_realwaste\cardboard\Cardboard_166.jpg,cardboard,paper,0.641214,False
data\external_test_realwaste\cardboard\Cardboard_167.jpg,cardboard,trash,0.428266,True
data\external_test_realwaste\cardboard\Cardboard_168.jpg,cardboard,plastic,0.63686,False
data\external_test_realwaste\cardboard\Cardboard_169.jpg,cardboard,trash,0.908354,False
data\external_test_realwaste\cardboard\Cardboard_17.jpg,cardboard,paper,0.663137,False
data\external_test_realwaste\cardboard\Cardboard_170.jpg,cardboard,trash,0.913068,False
data\external_test_realwaste\cardboard\Cardboard_171.jpg,cardboard,trash,0.93935,False
data\external_test_realwaste\cardboard\Cardboard_172.jpg,cardboard,trash,0.6986,False
data\external_test_realwaste\cardboard\Cardboard_173.jpg,cardboard,trash,0.970106,False
data\external_test_realwaste\cardboard\Cardboard_177.jpg,cardboard,trash,0.547374,True
data\external_test_realwaste\cardboard\Cardboard_179.jpg,cardboard,paper,0.809637,False
data\external_test_realwaste\cardboard\Cardboard_18.jpg,cardboard,paper,0.99796,False
data\external_test_realwaste\cardboard\Cardboard_180.jpg,cardboard,trash,0.670104,False
data\external_test_realwaste\cardboard\Cardboard_181.jpg,cardboard,trash,0.733151,False
data\external_test_realwaste\cardboard\Cardboard_183.jpg,cardboard,trash,0.370547,True
data\external_test_realwaste\cardboard\Cardboard_184.jpg,cardboard,trash,0.822997,False
data\external_test_realwaste\cardboard\Cardboard_185.jpg,cardboard,trash,0.928676,False
data\external_test_realwaste\cardboard\Cardboard_186.jpg,cardboard,trash,0.756034,False
data\external_test_realwaste\cardboard\Cardboard_187.jpg,cardboard,trash,0.531805,True
data\external_test_realwaste\cardboard\Cardboard_188.jpg,cardboard,trash,0.751495,False
data\external_test_realwaste\cardboard\Cardboard_189.jpg,cardboard,trash,0.738562,False
data\external_test_realwaste\cardboard\Cardboard_19.jpg,cardboard,trash,0.794731,False
data\external_test_realwaste\cardboard\Cardboard_190.jpg,cardboard,trash,0.967679,False
